PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,1/15/2026,,1,1,Sample Pitcher,,Right,TEAM_A,Sample Batter 1,,Left,TEAM_B,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.34,0.02109,-1.01375,1915,242.5,2:15,5.55,1.87,6.813,-17.645,10.38,10.12,2.488,-0.228,79.762,-9.414,2.741,0.433808,,,,,,,,,,,,-6.92618,3.40016,-1.11486,50,5.4068,1.67298,-128.657,-1.09785,-11.6357,26.11981,-26.4619,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,86.8873,,,7.38294,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,CAL_MAT,2352eee7-9936-47a9-b293-f96903cbdeba,,-129.715,13.05991,5.42956,-0.02576,-13.231,-1.19219,2.14439,-5.81785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
2,1/15/2026,,1,2,Sample Pitcher,,Right,TEAM_A,Sample Batter 2,,Left,TEAM_B,Undefined,1,Top,0,1,0,Sinker,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.06,-0.47399,-0.2546,2164,242.8,2:30,5.82,1.7,6.036,-16.87,8.63,17.82,1.829,0.266,74.688,-2.913,-0.853,0.436475,,,,,,,,,,,,-6.81477,3.13343,-1.08063,50,5.37063,-0.02909,-127.438,-2.22442,-11.268,24.8535,-26.9931,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,86.3564,,,6.91557,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,CAL_MAT,27a156bf-5854-4948-b260-1be522843937,,-128.43,12.42675,5.43793,-1.14669,-13.4965,-1.08845,0.4208,-5.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
3,1/15/2026,,1,3,Sample Pitcher,,Right,TEAM_A,Sample Batter 3,,Left,TEAM_B,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.55,-0.96802,-1.09154,2243,203.2,1:30,5.78,1.72,7.15,-10.746,14.64,11.06,2.873,-0.254,86.335,-1.396,-0.913,0.430014,,,,,,,,,,,,-7.61496,7.83827,-0.92916,50,5.35994,1.80851,-129.776,-2.92866,-12.9465,27.94242,-18.8479,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,87.65396,,,7.93996,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,CAL_MAT,926b4361-c4a7-45ab-9962-c19218948b26,,-130.872,13.97121,5.46035,-2.18904,-9.42397,-1.0101,2.31655,-6.47323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
4,1/15/2026,,1,4,Sample Pitcher,,Right,TEAM_A,Sample Batter 4,,Left,TEAM_B,Undefined,1,Top,0,2,1,Slider,Slider,InPlay,Undefined,FlyBall,Out,0,0,,82.98,1.183822,-0.52337,2616,75.2,8:30,5.62,1.75,4.812,-21.234,3.43,-13.14,3.29,0.444,94.698,-6.17,-1.929,0.486036,88.1,12.64311,36.2845,2033.42,84.20813,11.54849,70.77421,169.6826,169.6826,42.36556,1.687423,7.16402,-1.58996,-0.95457,50,5.48144,1.67715,-115.916,0.56488,9.74647,21.68429,-34.3371,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,77.5507,12.49211,,6.44657,,,,1.50391,2.50914,0.8363,,1/15/2026,,,,LineDrive,v3,,,,Sample Catcher 2,,Right,TEAM_A,,55.71905,-116.981,10.84215,5.41228,2.25125,-17.1686,-1.02518,1.19847,4.87324,,1.50391,95.42253,-16.2912,2.64929,-0.55479,0.09582,-0.01703,0.00263,-0.00022,2.50914,26.55397,-18.7487,1.62763,-0.29903,0.06257,-0.00996,0.00139,-0.00013,0.8363,70.05508,-1.04598,-0.5854,0.20461,-0.05736,0.01188,-0.00191,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,1/15/2026,,2,1,Sample Pitcher,,Right,TEAM_A,Sample Batter 5,,Right,TEAM_B,Undefined,1,Top,0,0,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,1,0,,85.99,-0.14671,-0.72685,2226,162.8,11:15,5.65,1.89,5.873,-30.758,8.49,-0.64,2.653,0.084,74.007,-8.645,-0.127,0.464301,,,,,,,,,,,,0.27906,2.07071,-0.94055,50,5.40182,1.5562,-119.823,-1.66185,0.41029,20.71219,-29.1297,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,81.18109,,,5.94155,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,CAL_MAT,4de4aa57-539d-487f-8b97-27220ba136d2,,-120.727,10.35609,5.4466,-0.3909,-14.5648,-1.00806,1.5383,0.20514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
6,1/15/2026,,3,1,Sample Pitcher,,Right,TEAM_A,Sample Batter 6,,Left,TEAM_B,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,83.63,0.563472,-1.18445,2586,78.1,8:15,5.79,1.64,5.279,-19.958,-1.34,-11.19,2.171,-0.23,76.218,-6.017,-0.478,0.48098,,,,,,,,,,,,6.993,-2.31862,-1.05489,50,5.43145,3.0021,-116.573,-0.66944,9.64451,21.44859,-35.3718,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,78.36597,,,6.09527,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,CAL_MAT,8e633ef8-f7cc-48af-a66b-71fa8a9354e3,,-117.58,10.72429,5.4239,0.99091,-17.6859,-1.18518,2.54939,4.82226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
7,1/15/2026,,3,2,Sample Pitcher,,Right,TEAM_A,Sample Batter 7,,Left,TEAM_B,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.3,0.737072,-0.78619,1617,262.9,2:45,5.5,1.79,5.847,-31.086,5.27,16.42,2.91,0.117,83.212,-5.978,0.67,0.482286,,,,,,,,,,,,-5.22555,1.72858,-1.06047,50,5.45675,1.17721,-115.727,0.02895,-7.1,21.21733,-29.8254,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,78.15369,,,6.49275,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,CAL_MAT,258bd9a2-cec4-4ac5-ab8f-c187b5135896,,-116.682,10.60867,5.42529,1.37021,-14.9127,-1.12059,1.4965,-3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
8,1/15/2026,,3,3,Sample Pitcher,,Right,TEAM_A,Sample Batter 8,,Left,TEAM_B,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.78,-0.75933,-0.49143,1745,240.8,2:30,5.72,1.62,6.556,-12.931,6.08,16.14,1.856,-0.816,92.181,-5.822,-2.578,0.474815,,,,,,,,,,,,-4.90158,2.25193,-1.15053,50,5.18819,0.63177,-117.474,-2.95314,-6.86411,21.8098,-29.0205,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,79.38341,,,6.30823,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,CAL_MAT,e50b1140-c6c7-4caa-9db2-896ba351f06e,,-118.436,10.9049,5.2902,-1.67339,-14.5102,-1.18506,0.93446,-3.43206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
9,1/15/2026,,3,4,Sample Pitcher,,Right,TEAM_A,Sample Batter 9,,Left,TEAM_B,Undefined,1,Top,1,1,2,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.55,-0.24982,-1.11608,2069,241.9,2:15,5.84,1.79,6.274,-53.304,7.65,15.4,2.037,0.329,73.709,-7.314,-2.42,0.428277,99.5,-11.1908,5.599078,,,,,16.70069,16.3168,1.147384,0.13325,-7.37583,3.8361,-0.95656,50,5.45339,1.90213,-130.685,-1.67864,-12.792,26.80676,-25.5211,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,88.00949,3.00901,,7.43686,,,,2.22477,3.00901,-1.17225,,1/15/2026,,,,GroundBall,v3,,,,Sample Catcher 2,,Right,TEAM_A,,55.40933,-131.79,13.40338,5.50091,-0.62672,-12.7605,-1.04583,2.42939,-6.39598,210.1757,2.22488,109.6821,-8.03909,,,,,,,3.00896,-21.801,-5.86172,,,,,,,-1.17231,10.75949,4.11651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,1/15/2026,,4,1,Sample Pitcher,,Right,TEAM_A,Sample Batter 1,,Left,TEAM_B,Undefined,1,Top,2,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82,2.010541,-0.29241,2359,75.8,8:15,5.77,1.98,6.225,-31.479,-2.58,-11.97,2.431,0.479,83.301,-4.579,-2.5,0.480503,,,,,,,,,,,,6.86504,-2.9026,-1.00483,50,5.56132,1.18827,-116.76,2.21931,9.5094,21.28004,-36.1947,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,78.44367,,,6.39815,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,CAL_MAT,14e7c262-7840-4882-8df2-cfc8b991ab7a,,-117.767,10.64002,5.41573,3.93254,-18.0974,-1.05042,0.73815,4.7547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
